"DateTime","Date","Hour","X"
2015-01-01,2015-01-01,0,0.0146
2015-01-01 01:00:00,2015-01-01,1,0.0148
2015-01-01 02:00:00,2015-01-01,2,0.0101
2015-01-01 03:00:00,2015-01-01,3,0.006
2015-01-01 04:00:00,2015-01-01,4,0.0055
2015-01-01 05:00:00,2015-01-01,5,0.0071
2015-01-01 06:00:00,2015-01-01,6,0.0089
2015-01-01 07:00:00,2015-01-01,7,0.01
2015-01-01 08:00:00,2015-01-01,8,0.0123
2015-01-01 09:00:00,2015-01-01,9,0.0177
2015-01-01 10:00:00,2015-01-01,10,0.0236
2015-01-01 11:00:00,2015-01-01,11,0.0298
2015-01-01 12:00:00,2015-01-01,12,0.0329
2015-01-01 13:00:00,2015-01-01,13,0.0335
2015-01-01 14:00:00,2015-01-01,14,0.0361
2015-01-01 15:00:00,2015-01-01,15,0.0325
2015-01-01 16:00:00,2015-01-01,16,0
2015-01-01 17:00:00,2015-01-01,17,0
2015-01-01 18:00:00,2015-01-01,18,0
2015-01-01 19:00:00,2015-01-01,19,0
2015-01-01 20:00:00,2015-01-01,20,0
2015-01-01 21:00:00,2015-01-01,21,0
2015-01-01 22:00:00,2015-01-01,22,0
2015-01-01 23:00:00,2015-01-01,23,0
2015-01-02,2015-01-02,0,0
2015-01-02 01:00:00,2015-01-02,1,0
2015-01-02 02:00:00,2015-01-02,2,0
2015-01-02 03:00:00,2015-01-02,3,0
2015-01-02 04:00:00,2015-01-02,4,0
2015-01-02 05:00:00,2015-01-02,5,0
2015-01-02 06:00:00,2015-01-02,6,0
2015-01-02 07:00:00,2015-01-02,7,0
2015-01-02 08:00:00,2015-01-02,8,0
2015-01-02 09:00:00,2015-01-02,9,0
2015-01-02 10:00:00,2015-01-02,10,0
2015-01-02 11:00:00,2015-01-02,11,0.0485
2015-01-02 12:00:00,2015-01-02,12,0.0489
2015-01-02 13:00:00,2015-01-02,13,0.0483
2015-01-02 14:00:00,2015-01-02,14,0.0443
2015-01-02 15:00:00,2015-01-02,15,0.0435
2015-01-02 16:00:00,2015-01-02,16,0.0419
2015-01-02 17:00:00,2015-01-02,17,0.0443
2015-01-02 18:00:00,2015-01-02,18,0.0391
2015-01-02 19:00:00,2015-01-02,19,0.0348
2015-01-02 20:00:00,2015-01-02,20,0.0271
2015-01-02 21:00:00,2015-01-02,21,0.0243
2015-01-02 22:00:00,2015-01-02,22,0.0208
2015-01-02 23:00:00,2015-01-02,23,0.0133
2015-01-03,2015-01-03,0,0.0087
2015-01-03 01:00:00,2015-01-03,1,0.0059
2015-01-03 02:00:00,2015-01-03,2,0.005
2015-01-03 03:00:00,2015-01-03,3,0.0053
2015-01-03 04:00:00,2015-01-03,4,0.009
2015-01-03 05:00:00,2015-01-03,5,0.0155
2015-01-03 06:00:00,2015-01-03,6,0.0208
2015-01-03 07:00:00,2015-01-03,7,0.0271
2015-01-03 08:00:00,2015-01-03,8,0.0369
2015-01-03 09:00:00,2015-01-03,9,0.0395
2015-01-03 10:00:00,2015-01-03,10,0.0401
2015-01-03 11:00:00,2015-01-03,11,0.0444
2015-01-03 12:00:00,2015-01-03,12,0.0454
2015-01-03 13:00:00,2015-01-03,13,0.0459
2015-01-03 14:00:00,2015-01-03,14,0.046
2015-01-03 15:00:00,2015-01-03,15,0.0474
2015-01-03 16:00:00,2015-01-03,16,0.0457
2015-01-03 17:00:00,2015-01-03,17,0.046
2015-01-03 18:00:00,2015-01-03,18,0.0398
2015-01-03 19:00:00,2015-01-03,19,0.0335
2015-01-03 20:00:00,2015-01-03,20,0.0295
2015-01-03 21:00:00,2015-01-03,21,0.0263
2015-01-03 22:00:00,2015-01-03,22,0.0226
2015-01-03 23:00:00,2015-01-03,23,0.0157
2015-01-04,2015-01-04,0,0.0091
2015-01-04 01:00:00,2015-01-04,1,0.0066
2015-01-04 02:00:00,2015-01-04,2,0.0037
2015-01-04 03:00:00,2015-01-04,3,0.0039
2015-01-04 04:00:00,2015-01-04,4,0.0069
